title,year,month,post,cited_in,citation_count
자기만의 트랙,2025,9,,,0
뉴욕에게 묻다,2025,9,,,0
디테일의 발견,2025,9,discovery-of-detail,,0
뉴욕은 어떻게 뉴욕이 됐을까?,2025,9,,,0
완벽한 선택은 없다,2025,8,,grow-together;writing-behind-the-scene;fake-senior-junior,3
실용주의 사고와 학습,2025,8,,discovery-of-detail;grow-together;appreciation-as-word;infj-doctor,4
INFJ 의사의 병원 일기,2025,8,infj-doctor,discovery-of-detail,1
안다는 착각,2025,8,did-i-understand,breaking-bias;discovery-of-detail;infj-doctor;stare-at-professional,4
노트의 품격,2025,8,note-premium,,0
왜 나는 항상 결심만 할까?,2025,7,,writing-behind-the-scene;fake-senior-junior,2
달리기를 말할 때 내가 하고 싶은 이야기,2025,7,running-story,one-life;note-premium;infj-doctor,3
단 한 번의 삶,2025,7,one-life,,0
내게 남은 스물다섯 번의 계절,2025,7,25-seasons,one-life;stare-at-professional,2
무엇이 1등 팀을 만드는가?,2025,6,,,0
진홍색 연구,2025,5,,,0
(사용자를) 생각하게 하지 마!,2025,4,,,0
나 홀로 유럽,2025,4,,,0
그리고 아무도 없었다,2025,4,,,0
모든 것은 예측 가능하다,2025,4,,moral-uncertainty,1
주문하신 대만 간식 나왔습니다,2025,4,,,0
책 잘 읽는 방법,2025,3,,how-to-read,1
80:20 학습법,2025,3,,infj-doctor,1
헬스는 쪼렙입니다만,2025,3,health-newbie,,0
현직 약사가 알려주는 영양제 특강,2025,3,,,0
우리는 왜 잠을 자야할까,2025,3,,,0
더 머니북,2025,2,,,0
비만코드,2025,2,,,0
불안한 완벽주의자를 위한 책,2025,2,,,0
정리의 기술,2025,2,,,0
어디서 살 것인가: 우리가 살고 싶은 곳의 기준을 바꾸다,2025,1,,,0
아티스트의 탁구 노트,2025,1,,,0
그림으로 배우는 HTTP & Network Basics,2025,1,,,0
어린왕자,2024,12,,,0
오늘을 사는 이유,2024,12,,,0
죽음의 수용소에서,2024,11,,,0
1만 시간의 재발견,2024,10,,grow-together;writing-behind-the-scene;appreciation-as-word;stare-at-professional,4
제텔카스텐,2024,9,,discovery-of-detail;grow-together,2
이방인,2024,9,,,0
이동진 독서법,2024,9,,how-to-read,1
피플웨어,2024,8,,grow-together,1
Deep Work,2024,6,,running-story;stare-at-professional,2
Tidy First?,2024,5,,,0
가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,2024,3,,,0
개발자의 글쓰기,2024,2,,,0
거인의 노트,2024,2,,writing-behind-the-scene;appreciation-as-word,2
유난한 도전,2023,12,,,0
함께 자라기,2023,11,,writing-behind-the-scene;fake-senior-junior,2
함께 자라기,2025,9,grow-together,writing-behind-the-scene;fake-senior-junior,2
진작 이렇게 책을 읽었더라면,2023,4,,how-to-read,1
메이크타임,2022,10,,,0
이팩티브 엔지니어,2022,7,,,0
